id,country,user_id,updated_date,created_date,level_id,affluence_id,unique_id,name,latitude,longitude,radius,geohash,afluence,category
33114,BD,admin,8/2/21,8/2/21,,,,______ _____,23.4198212,91.1713738,,,High,Restaurant
33115,BD,admin,8/2/21,8/2/21,,,,Bayzid Restaurant,22.6065152,90.2123133,,,Low,Restaurant
33116,BD,admin,8/2/21,8/2/21,,,,Appayon Restuarant and Kabab,22.6464947,90.1991988,,,High,Restaurant
33117,BD,admin,8/2/21,8/2/21,,,,Ma-mony Hotel (__-___ _____),22.7925723,90.1822792,,,High,Restaurant
33118,BD,admin,8/2/21,8/2/21,,,,___ _____,22.6406006,90.1986798,,,Low,Restaurant
33119,BD,admin,8/2/21,8/2/21,,,,Favourite Food,22.6493531,90.1988263,,,Low,Restaurant
33120,BD,admin,8/2/21,8/2/21,,,,________ _____,23.8071545,90.4164871,,,High,Restaurant
33121,BD,admin,8/2/21,8/2/21,,,,"Chicken Point, Patuakhali",22.3586174,90.3317203,,,Low,Restaurant
33122,BD,admin,8/2/21,8/2/21,,,,Mollika Restaurant,22.3599534,90.3452544,,,High,Restaurant
33123,BD,admin,8/2/21,8/2/21,,,,____ ____ ___________,24.8947156,91.8675132,,,Mid,Restaurant
33124,BD,admin,8/2/21,8/2/21,,,,FooD king Patuakhali,22.3576234,90.3404841,,,Low,Restaurant
33125,BD,admin,8/2/21,8/2/21,,,,Hotel Jalil,22.3469596,90.3168462,,,Low,Restaurant
33126,BD,admin,8/2/21,8/2/21,,,,Mejban Sweets And Restaurant,22.3589763,90.3225169,,,Low,Restaurant
33127,BD,admin,8/2/21,8/2/21,,,,Patuakhali food court,22.3547262,90.3367546,,,Low,Restaurant
33128,BD,admin,8/2/21,8/2/21,,,,Patuakhali Ryderz Cafe (PRz Cafe),22.3573382,90.3495183,,,Low,Restaurant
33129,BD,admin,8/2/21,8/2/21,,,,Royel King Restaurant,22.3576234,90.3404841,,,Low,Restaurant
33130,BD,admin,8/2/21,8/2/21,,,,Patuakhali Food Court (PFC),22.3586174,90.3317203,,,Low,Restaurant
33131,BD,admin,8/2/21,8/2/21,,,,_____ _________ ______,22.3589763,90.3225169,,,High,Restaurant
33132,BD,admin,8/2/21,8/2/21,,,,Jalil Hotel,30.3693671,68.5982842,,,Low,Restaurant
33133,BD,admin,8/2/21,8/2/21,,,,Al Amin Restaurent,22.3566802,90.3488869,,,High,Restaurant
33134,BD,admin,8/2/21,8/2/21,,,,Ruchita Restaurant & Hotel,22.3635535,90.3447561,,,High,Restaurant
33135,BD,admin,8/2/21,8/2/21,,,,____ ___ ___________,22.3614045,90.3504031,,,Low,Restaurant
33136,BD,admin,8/2/21,8/2/21,,,,Royal king,22.3585113,90.3346512,,,High,Restaurant
33137,BD,admin,8/2/21,8/2/21,,,,_____ _____________ ____,22.3566802,90.3488869,,,Low,Restaurant
33138,BD,admin,8/2/21,8/2/21,,,,Street Food Pirojpur (_______ ___ ________),22.5790807,89.9686165,,,Low,Restaurant
33139,BD,admin,8/2/21,8/2/21,,,,Blue Bites,22.5793254,89.9746392,,,High,Restaurant
33140,BD,admin,8/2/21,8/2/21,,,,Mahfuz Restaurant,22.5784496,89.9572314,,,High,Restaurant
33141,BD,admin,8/2/21,8/2/21,,,,Sky City Cafe & Restaurant,22.5790744,89.9759264,,,High,Restaurant
33142,BD,admin,8/2/21,8/2/21,,,,Hotel Rose Garden,22.5780988,89.9686796,,,High,Restaurant
33143,BD,admin,8/2/21,8/2/21,,,,Maliha First Food And Confectionary,22.5793254,89.9746392,,,Low,Restaurant
33144,BD,admin,8/2/21,8/2/21,,,,_____ ______,22.8404919,89.2959449,,,High,Restaurant
33145,BD,admin,8/2/21,8/2/21,,,,_____ ______,22.5780988,89.9686796,,,High,Restaurant
33146,BD,admin,8/2/21,8/2/21,,,,Mr. Madan Lal Hotel & Restaurant,22.5760123,89.9670921,,,High,Restaurant
33147,BD,admin,8/2/21,8/2/21,,,,Sabbir Restaurant,22.5662278,90.0139908,,,Low,Restaurant
33148,BD,admin,8/2/21,8/2/21,,,,____,23.5964262,90.4497421,,,High,Restaurant
33149,BD,admin,8/2/21,8/2/21,,,,___ _________ _______,23.9042766,89.1398638,,,High,Restaurant
33150,BD,admin,8/2/21,8/2/21,,,,Pizza King Resturent.Pirojpu.,22.5785194,89.9833854,,,High,Restaurant
33151,BD,admin,8/2/21,8/2/21,,,,___ ___ _____ ____ ___________,22.8719394,89.5293431,,,High,Restaurant
33152,BD,admin,8/2/21,8/2/21,,,,____ _____ _________,23.7285309,90.417366,,,High,Restaurant
33153,BD,admin,8/2/21,8/2/21,,,,_____ _____ _________,22.5841051,89.9720133,,,Low,Restaurant
33154,BD,admin,8/2/21,8/2/21,,,,Hajir Biryani,22.5805796,89.9743606,,,High,Restaurant
33155,BD,admin,8/2/21,8/2/21,,,,Green Prairie Restaurant,29.1393452,76.6988323,,,High,Restaurant
33156,BD,admin,8/2/21,8/2/21,,,,Kong Rong Mundi Restaurent,22.1935628,92.2187476,,,Low,Restaurant
33157,BD,admin,8/2/21,8/2/21,,,,Husam's Restaurant,22.1919552,92.2151757,,,Low,Restaurant
33158,BD,admin,8/2/21,8/2/21,,,,Nafakum Restoura (_______ ________),22.1899317,92.2191724,,,High,Restaurant
33159,BD,admin,8/2/21,8/2/21,,,,Jungle cafeteria,22.1943486,92.2787015,,,Low,Restaurant
33160,BD,admin,8/2/21,8/2/21,,,,zam zam hotel resturant and birani how's,22.194322,92.2192863,,,High,Restaurant
33161,BD,admin,8/2/21,8/2/21,,,,Nilachol Restaura,22.1966353,92.2179981,,,Low,Restaurant
33162,BD,admin,8/2/21,8/2/21,,,,________,22.1972664,92.220056,,,High,Restaurant
33163,BD,admin,8/2/21,8/2/21,,,,_______ _________,22.1948401,92.2171569,,,High,Restaurant
33164,BD,admin,8/2/21,8/2/21,,,,Tohzah Restaurant,22.1992308,92.2215017,,,High,Restaurant
33165,BD,admin,8/2/21,8/2/21,,,,New Bandarban Hotel & Biriyani House,22.1970519,92.218397,,,High,Restaurant
33166,BD,admin,8/2/21,8/2/21,,,,____ ____,21.4438498,91.975584,,,Low,Restaurant
33167,BD,admin,8/2/21,8/2/21,,,,Radhuni Hotel and Restaurent,23.9762236,91.1111718,,,High,Restaurant
33168,BD,admin,8/2/21,8/2/21,,,,Cafe Hasan Hotel and Restaurant - ______ _____ _____ _ ___________,23.9675393,91.1119148,,,High,Restaurant
33169,BD,admin,8/2/21,8/2/21,,,,The Jogajog Hotel And Restaurant,23.9675393,91.1119148,,,Low,Restaurant
33170,BD,admin,8/2/21,8/2/21,,,,Cafe Nobabi Vhoj Restaurant - ______ _____ ___ ___________,23.9749316,91.1113988,,,Low,Restaurant
33171,BD,admin,8/2/21,8/2/21,,,,Hotel Noumi,23.9590056,91.1032656,,,High,Restaurant
33172,BD,admin,8/2/21,8/2/21,,,,Chill Bros,23.9778046,91.1086925,,,Low,Restaurant
33173,BD,admin,8/2/21,8/2/21,,,,Kutumghar Restaurant,23.9749316,91.1113988,,,Low,Restaurant
33174,BD,admin,8/2/21,8/2/21,,,,Rajdhani Hotel & Restaurant,23.9572835,91.1152813,,,High,Restaurant
33175,BD,admin,8/2/21,8/2/21,,,,Uni Cafe,23.7461166,91.0877438,,,Mid,Restaurant
33176,BD,admin,8/2/21,8/2/21,,,,Al Helal Kari Hotel & Kari Chinese Restaurant,23.9742123,91.1119446,,,High,Restaurant
33177,BD,admin,8/2/21,8/2/21,,,,BFC,23.9681363,91.1174596,,,Low,Restaurant
33178,BD,admin,8/2/21,8/2/21,,,,Cafe Vojon Bilash Restaurant,23.9654902,91.1113787,,,High,Restaurant
33179,BD,admin,8/2/21,8/2/21,,,,_______ ________ ___________ ________ _______,22.3598938,91.8565708,,,High,Restaurant
33180,BD,admin,8/2/21,8/2/21,,,,______ ____ _____ ____ _____________,23.9892996,91.1039647,,,High,Restaurant
33181,BD,admin,8/2/21,8/2/21,,,,Boithokkhana,23.9844676,91.1056426,,,Low,Restaurant
33182,BD,admin,8/2/21,8/2/21,,,,_______ ________ _____ ____ ___________,23.9590056,91.1032656,,,Low,Restaurant
33183,BD,admin,8/2/21,8/2/21,,,,______ ___________ ____ ______ _______,23.2261375,90.659854,,,Ultra High,Restaurant
33184,BD,admin,8/2/21,8/2/21,,,,Western Kitchen Chandpur,23.2227803,90.6541086,,,High,Restaurant
33185,BD,admin,8/2/21,8/2/21,,,,___ ____ ______ ___________,23.2261375,90.659854,,,High,Restaurant
33186,BD,admin,8/2/21,8/2/21,,,,Cafe Corner,23.2260983,90.6560905,,,High,Restaurant
33187,BD,admin,8/2/21,8/2/21,,,,Vuter bari restaurant Chandpur,23.2298293,90.660741,,,Low,Restaurant
